Date,Start_Time,Workout_Type,Duration_min,Active_Energy_kcal,Distance_km,Source
2025-11-09,2025-11-09 10:34:26 +0200,Other,41.6,0.0,0.0,Strava
2025-12-26,2025-12-26 10:11:15 +0200,DownhillSkiing,205.9,0.0,0.0,Strava
2025-12-26,2025-12-26 15:27:58 +0200,DownhillSkiing,107.9,0.0,0.0,Strava
2026-01-03,2026-01-03 17:20:31 +0200,Other,38.1,0.0,0.0,Strava
2026-01-31,2026-01-31 15:02:32 +0200,Other,49.2,0.0,0.0,Strava
2026-03-07,2026-03-07 09:28:26 +0200,Running,71.1,0.0,0.0,Strava
2026-03-07,2026-03-07 09:38:46 +0200,Running,9.5,0.0,0.0,Connect
2026-03-07,2026-03-07 09:49:03 +0200,Running,26.7,0.0,0.0,Connect
2026-03-07,2026-03-07 12:34:14 +0200,MixedCardio,55.5,0.0,0.0,Connect
2026-03-07,2026-03-07 12:34:14 +0200,CrossTraining,55.5,0.0,0.0,Strava
2026-03-11,2026-03-11 21:06:19 +0200,Yoga,56.3,0.0,0.0,Strava
2026-03-12,2026-03-12 08:16:45 +0200,TraditionalStrengthTraining,54.0,0.0,0.0,Connect
2026-03-12,2026-03-12 08:16:45 +0200,Other,54.0,0.0,0.0,Strava
2026-03-12,2026-03-12 20:04:49 +0200,CrossTraining,52.8,0.0,0.0,Strava
2026-03-12,2026-03-12 20:04:49 +0200,MixedCardio,52.8,0.0,0.0,Connect
2026-03-14,2026-03-14 09:51:38 +0200,SnowSports,184.1,0.0,0.0,Connect
2026-03-14,2026-03-14 10:08:39 +0200,DownhillSkiing,158.8,0.0,0.0,Strava
2026-03-14,2026-03-14 14:37:18 +0200,SnowSports,165.6,0.0,0.0,Connect
2026-03-14,2026-03-14 14:37:22 +0200,DownhillSkiing,165.6,0.0,0.0,Strava
2026-03-16,2026-03-16 07:12:26 +0200,TraditionalStrengthTraining,59.5,0.0,0.0,Connect
2026-03-16,2026-03-16 07:12:26 +0200,Other,59.6,0.0,0.0,Strava
2026-03-17,2026-03-17 08:25:32 +0200,Other,44.1,0.0,0.0,Strava
2026-03-17,2026-03-17 08:25:32 +0200,TraditionalStrengthTraining,44.0,0.0,0.0,Connect
2026-03-17,2026-03-17 20:11:01 +0200,CrossTraining,43.3,0.0,0.0,Strava
2026-03-17,2026-03-17 20:11:01 +0200,MixedCardio,43.3,0.0,0.0,Connect
2026-03-18,2026-03-18 07:14:53 +0200,Other,28.4,0.0,0.0,Strava
2026-03-18,2026-03-18 07:14:53 +0200,TraditionalStrengthTraining,28.4,0.0,0.0,Connect
2026-03-19,2026-03-19 08:24:59 +0200,TraditionalStrengthTraining,54.0,0.0,0.0,Connect
2026-03-19,2026-03-19 08:24:59 +0200,Other,54.0,0.0,0.0,Strava
2026-03-19,2026-03-19 20:15:53 +0200,MixedCardio,34.6,0.0,0.0,Connect
2026-03-19,2026-03-19 20:15:53 +0200,CrossTraining,34.6,0.0,0.0,Strava
2026-03-22,2026-03-22 13:06:09 +0200,TraditionalStrengthTraining,59.8,0.0,0.0,Connect
2026-03-22,2026-03-22 13:06:09 +0200,Other,59.8,0.0,0.0,Strava
2026-03-23,2026-03-23 13:25:51 +0200,Other,36.6,0.0,0.0,Strava
2026-03-23,2026-03-23 13:25:51 +0200,TraditionalStrengthTraining,36.6,0.0,0.0,Connect
2026-03-28,2026-03-28 13:03:32 +0200,Other,65.6,0.0,0.0,Strava
2026-03-28,2026-03-28 13:03:32 +0200,TraditionalStrengthTraining,65.6,0.0,0.0,Connect
2026-03-30,2026-03-30 00:39:51 +0200,Other,5.6,0.0,0.0,Strava
2026-03-30,2026-03-30 00:39:51 +0200,MindAndBody,5.6,0.0,0.0,Connect
2026-03-31,2026-03-31 07:25:13 +0200,TraditionalStrengthTraining,67.9,0.0,0.0,Connect
2026-03-31,2026-03-31 07:25:13 +0200,Other,67.9,0.0,0.0,Strava
2026-03-31,2026-03-31 19:10:27 +0200,MixedCardio,44.7,0.0,0.0,Connect
2026-03-31,2026-03-31 19:10:27 +0200,CrossTraining,44.7,0.0,0.0,Strava
2026-04-02,2026-04-02 07:20:50 +0200,TraditionalStrengthTraining,61.1,0.0,0.0,Connect
2026-04-02,2026-04-02 07:20:50 +0200,Other,61.1,0.0,0.0,Strava
2026-04-03,2026-04-03 16:50:52 +0200,Other,54.3,0.0,0.0,Strava
2026-04-03,2026-04-03 16:50:52 +0200,TraditionalStrengthTraining,54.3,0.0,0.0,Connect
2026-04-04,2026-04-04 11:31:40 +0200,CrossTraining,58.6,0.0,0.0,Strava
2026-04-04,2026-04-04 11:31:40 +0200,MixedCardio,58.6,0.0,0.0,Connect
2026-04-06,2026-04-06 01:16:01 +0200,MixedCardio,92.2,0.0,0.0,Connect
2026-04-06,2026-04-06 01:16:01 +0200,Other,122.4,0.0,0.0,Strava
2026-04-07,2026-04-07 19:01:03 +0200,MixedCardio,48.5,0.0,0.0,Connect
2026-04-07,2026-04-07 19:01:03 +0200,CrossTraining,48.5,0.0,0.0,Strava
2026-04-08,2026-04-08 06:17:22 +0200,Other,53.5,0.0,0.0,Strava
2026-04-08,2026-04-08 06:17:22 +0200,TraditionalStrengthTraining,53.5,0.0,0.0,Connect
2026-04-09,2026-04-09 07:20:13 +0200,TraditionalStrengthTraining,71.7,0.0,0.0,Connect
2026-04-09,2026-04-09 07:20:13 +0200,Other,72.1,0.0,0.0,Strava
2026-04-09,2026-04-09 19:03:42 +0200,MixedCardio,52.4,0.0,0.0,Connect
2026-04-09,2026-04-09 19:03:42 +0200,CrossTraining,52.4,0.0,0.0,Strava
2026-04-10,2026-04-10 07:25:39 +0200,TraditionalStrengthTraining,63.4,0.0,0.0,Connect
2026-04-10,2026-04-10 07:25:39 +0200,Other,63.4,0.0,0.0,Strava
2026-04-11,2026-04-11 11:30:46 +0200,CrossTraining,59.7,0.0,0.0,Strava
2026-04-11,2026-04-11 11:30:46 +0200,MixedCardio,59.7,0.0,0.0,Connect
2026-04-13,2026-04-13 06:20:53 +0200,Other,66.3,0.0,0.0,Strava
2026-04-13,2026-04-13 06:20:53 +0200,TraditionalStrengthTraining,66.3,0.0,0.0,Connect
2026-04-14,2026-04-14 07:22:30 +0200,Other,67.4,0.0,0.0,Strava
2026-04-14,2026-04-14 07:22:30 +0200,TraditionalStrengthTraining,67.4,0.0,0.0,Connect
2026-04-14,2026-04-14 19:05:56 +0200,MixedCardio,43.4,0.0,0.0,Connect
2026-04-14,2026-04-14 19:05:56 +0200,CrossTraining,43.5,0.0,0.0,Strava
2026-04-15,2026-04-15 07:22:33 +0200,TraditionalStrengthTraining,34.6,0.0,0.0,Connect
2026-04-15,2026-04-15 07:22:33 +0200,Other,34.6,0.0,0.0,Strava
2026-04-16,2026-04-16 19:04:51 +0200,MixedCardio,56.8,0.0,0.0,Connect
2026-04-16,2026-04-16 19:04:51 +0200,CrossTraining,56.8,0.0,0.0,Strava
2026-04-17,2026-04-17 06:21:18 +0200,Other,57.3,0.0,0.0,Strava
2026-04-17,2026-04-17 06:21:18 +0200,TraditionalStrengthTraining,57.3,0.0,0.0,Connect
2026-04-18,2026-04-18 11:31:36 +0200,MixedCardio,48.3,0.0,0.0,Connect
2026-04-18,2026-04-18 11:31:36 +0200,CrossTraining,48.3,0.0,0.0,Strava
2026-04-19,2026-04-19 01:54:55 +0200,Other,206.4,0.0,0.0,Strava
2026-04-19,2026-04-19 01:54:55 +0200,MixedCardio,206.4,0.0,0.0,Connect
2026-04-19,2026-04-19 17:11:02 +0200,Running,55.7,0.0,0.0,Connect
2026-04-20,2026-04-20 20:08:33 +0200,TraditionalStrengthTraining,87.0,0.0,0.0,Connect
2026-04-21,2026-04-21 07:20:51 +0200,TraditionalStrengthTraining,67.0,0.0,0.0,Connect
2026-04-21,2026-04-21 19:05:42 +0200,MixedCardio,53.4,0.0,0.0,Connect
2026-04-22,2026-04-22 07:03:49 +0200,MixedCardio,60.2,0.0,0.0,Connect
2026-04-23,2026-04-23 07:21:52 +0200,Running,21.4,0.0,0.0,Connect
2026-04-23,2026-04-23 07:49:56 +0200,TraditionalStrengthTraining,8.8,0.0,0.0,Connect
2026-04-24,2026-04-24 07:27:28 +0200,Running,22.9,0.0,0.0,Connect
2026-04-24,2026-04-24 07:55:12 +0200,TraditionalStrengthTraining,12.6,0.0,0.0,Connect
2026-04-25,2026-04-25 07:28:25 +0200,Running,26.3,0.0,0.0,Connect
2026-04-25,2026-04-25 07:59:00 +0200,TraditionalStrengthTraining,11.6,0.0,0.0,Connect
2026-04-26,2026-04-26 07:30:24 +0200,Running,21.9,0.0,0.0,Connect
2026-04-26,2026-04-26 07:59:18 +0200,TraditionalStrengthTraining,17.6,0.0,0.0,Connect
2026-04-27,2026-04-27 06:16:22 +0200,TraditionalStrengthTraining,71.1,0.0,0.0,Connect
2026-04-28,2026-04-28 07:19:18 +0200,TraditionalStrengthTraining,81.1,0.0,0.0,Connect
2026-04-28,2026-04-28 19:07:43 +0200,MixedCardio,52.2,0.0,0.0,Connect
2026-04-29,2026-04-29 06:24:53 +0200,TraditionalStrengthTraining,65.6,0.0,0.0,Connect
2026-04-30,2026-04-30 06:34:27 +0200,TraditionalStrengthTraining,79.9,0.0,0.0,Connect
2026-04-30,2026-04-30 19:07:21 +0200,MixedCardio,42.2,0.0,0.0,Connect
2026-05-05,2026-05-05 19:12:58 +0200,MixedCardio,40.6,0.0,0.0,Connect
2026-05-06,2026-05-06 06:24:24 +0200,TraditionalStrengthTraining,67.7,0.0,0.0,Connect
2026-05-07,2026-05-07 07:13:05 +0200,TraditionalStrengthTraining,45.8,0.0,0.0,Connect
2026-05-07,2026-05-07 19:07:09 +0200,MixedCardio,39.3,0.0,0.0,Connect
2026-05-12,2026-05-12 19:02:48 +0200,MixedCardio,50.4,0.0,0.0,Connect
2026-05-13,2026-05-13 15:18:44 +0200,TraditionalStrengthTraining,53.3,0.0,0.0,Connect
2026-05-15,2026-05-15 12:01:47 +0200,TraditionalStrengthTraining,69.9,0.0,0.0,Connect
2026-05-16,2026-05-16 11:32:53 +0200,TraditionalStrengthTraining,74.4,0.0,0.0,Connect
2026-05-17,2026-05-17 03:47:18 +0200,MixedCardio,87.1,0.0,0.0,Connect
2026-05-19,2026-05-19 06:44:30 +0200,TraditionalStrengthTraining,57.0,0.0,0.0,Connect
2026-05-19,2026-05-19 19:10:43 +0200,MixedCardio,56.4,0.0,0.0,Connect
2026-05-22,2026-05-22 07:25:42 +0200,TraditionalStrengthTraining,35.4,0.0,0.0,Connect
2026-05-23,2026-05-23 00:40:29 +0200,MixedCardio,229.0,0.0,0.0,Connect
2026-05-26,2026-05-26 11:27:24 +0200,TraditionalStrengthTraining,68.1,0.0,0.0,Connect
2026-05-27,2026-05-27 06:06:09 +0200,TraditionalStrengthTraining,58.6,0.0,0.0,Connect
2026-05-28,2026-05-28 06:42:01 +0200,TraditionalStrengthTraining,62.2,0.0,0.0,Connect
2026-05-29,2026-05-29 06:41:43 +0200,TraditionalStrengthTraining,46.0,0.0,0.0,Connect
2026-06-02,2026-06-02 15:01:30 +0200,TraditionalStrengthTraining,48.7,0.0,0.0,Connect
2026-06-03,2026-06-03 19:14:21 +0200,TraditionalStrengthTraining,45.0,0.0,0.0,Connect
2026-06-04,2026-06-04 12:15:39 +0200,TraditionalStrengthTraining,55.3,0.0,0.0,Connect
2026-06-05,2026-06-05 17:17:26 +0200,TraditionalStrengthTraining,36.5,0.0,0.0,Connect
2026-06-09,2026-06-09 06:55:06 +0200,TraditionalStrengthTraining,51.5,0.0,0.0,Connect
2026-06-10,2026-06-10 06:19:28 +0200,TraditionalStrengthTraining,55.1,0.0,0.0,Connect
2026-06-11,2026-06-11 06:36:37 +0200,TraditionalStrengthTraining,48.4,0.0,0.0,Connect
2026-06-11,2026-06-11 19:06:30 +0200,MixedCardio,51.2,0.0,0.0,Connect
2026-06-16,2026-06-16 07:04:49 +0200,TraditionalStrengthTraining,62.8,0.0,0.0,Connect
2026-06-16,2026-06-16 19:13:52 +0200,MixedCardio,39.2,0.0,0.0,Connect
2026-06-18,2026-06-18 06:37:51 +0200,TraditionalStrengthTraining,50.5,0.0,0.0,Connect
2026-06-18,2026-06-18 19:17:26 +0200,MixedCardio,33.9,0.0,0.0,Connect
2026-06-19,2026-06-19 06:57:48 +0200,TraditionalStrengthTraining,53.2,0.0,0.0,Connect
2026-06-23,2026-06-23 07:21:24 +0200,TraditionalStrengthTraining,41.1,0.0,0.0,Connect
2026-06-23,2026-06-23 19:13:55 +0200,MixedCardio,45.0,0.0,0.0,Connect
2026-06-24,2026-06-24 07:21:44 +0200,TraditionalStrengthTraining,41.0,0.0,0.0,Connect
2026-06-26,2026-06-26 17:54:10 +0200,TraditionalStrengthTraining,67.0,0.0,0.0,Connect
2026-07-02,2026-07-02 06:48:14 +0200,TraditionalStrengthTraining,52.4,0.0,0.0,Connect
2026-07-03,2026-07-03 07:16:20 +0200,TraditionalStrengthTraining,64.3,0.0,0.0,Connect
2026-07-07,2026-07-07 06:54:58 +0200,TraditionalStrengthTraining,74.6,0.0,0.0,Connect
2026-07-07,2026-07-07 06:54:58 +0200,Traditional Strength Training,74.6,292.0,0.0,Health Auto Export
2026-07-07,2026-07-07 19:09:02 +0200,Mixed Cardio,46.5,432.0,0.0,Health Auto Export
2026-07-07,2026-07-07 19:09:02 +0200,MixedCardio,46.5,0.0,0.0,Connect
2026-07-08,2026-07-08 08:12:07 +0200,Traditional Strength Training,53.0,348.0,0.0,Health Auto Export
2026-07-08,2026-07-08 08:12:07 +0200,TraditionalStrengthTraining,53.0,0.0,0.0,Connect
2026-07-09,2026-07-09 19:05:56 +0200,MixedCardio,49.9,0.0,0.0,Connect
2026-07-09,2026-07-09 19:05:56 +0200,Mixed Cardio,49.9,395.0,0.0,Health Auto Export
2026-07-10,2026-07-10 06:35:01 +0200,Traditional Strength Training,49.8,301.0,0.0,Health Auto Export
2026-07-10,2026-07-10 06:35:01 +0200,TraditionalStrengthTraining,49.8,0.0,0.0,Connect
2026-07-10,2026-07-10 19:30:09 +0200,Mixed Cardio,60.3,702.0,0.0,Health Auto Export
2026-07-10,2026-07-10 19:30:09 +0200,MixedCardio,60.3,0.0,0.0,Connect
2026-07-16,2026-07-16 18:57:45 +0200,TraditionalStrengthTraining,63.5,0.0,0.0,Connect
2026-07-16,2026-07-16 18:57:45 +0200,Traditional Strength Training,63.5,334.0,0.0,Health Auto Export
2026-07-17,2026-07-17 06:51:53 +0200,Traditional Strength Training,39.5,248.0,0.0,Health Auto Export
2026-07-17,2026-07-17 06:51:53 +0200,TraditionalStrengthTraining,39.5,0.0,0.0,Connect
2026-07-18,2026-07-18 17:00:17 +0200,Traditional Strength Training,54.8,376.0,0.0,Health Auto Export
2026-07-18,2026-07-18 17:00:17 +0200,TraditionalStrengthTraining,54.8,0.0,0.0,Connect
2026-07-20,2026-07-20 06:33:09 +0200,Traditional Strength Training,45.1,203.0,0.0,Health Auto Export
2026-07-20,2026-07-20 06:33:09 +0200,TraditionalStrengthTraining,45.1,0.0,0.0,Connect
2026-07-21,2026-07-21 07:32:23 +0200,Traditional Strength Training,37.5,271.0,0.0,Health Auto Export
2026-07-21,2026-07-21 07:32:23 +0200,TraditionalStrengthTraining,37.5,0.0,0.0,Connect
2026-07-22,2026-07-22 06:30:38 +0200,Traditional Strength Training,52.7,357.0,0.0,Health Auto Export
2026-07-22,2026-07-22 06:30:38 +0200,TraditionalStrengthTraining,52.7,0.0,0.0,Connect
2026-07-23,2026-07-23 07:12:06 +0200,TraditionalStrengthTraining,48.0,0.0,0.0,Connect
2026-07-23,2026-07-23 07:12:06 +0200,Traditional Strength Training,48.0,312.0,0.0,Health Auto Export
2026-07-23,2026-07-23 19:09:15 +0200,Mixed Cardio,49.2,515.0,0.0,Health Auto Export
2026-07-23,2026-07-23 19:09:15 +0200,MixedCardio,49.2,0.0,0.0,Connect
2026-07-27,2026-07-27 22:11:19 +0200,Climbing,40.3,293.0,0.0,Health Auto Export
2026-07-28,2026-07-28 11:42:28 +0200,TraditionalStrengthTraining,49.0,0.0,0.0,Connect
2026-07-28,2026-07-28 11:42:28 +0200,Traditional Strength Training,49.0,359.0,0.0,Health Auto Export
2026-07-28,2026-07-28 19:04:29 +0200,Mixed Cardio,48.8,421.0,0.0,Health Auto Export
2026-07-28,2026-07-28 19:04:29 +0200,MixedCardio,48.8,0.0,0.0,Connect
2026-07-29,2026-07-29 16:30:01 +0200,TraditionalStrengthTraining,61.7,0.0,0.0,Connect
2026-07-29,2026-07-29 16:30:01 +0200,Traditional Strength Training,61.7,292.0,0.0,Health Auto Export
2026-07-30,2026-07-30 11:01:06 +0200,Traditional Strength Training,50.6,360.0,0.0,Health Auto Export
2026-07-30,2026-07-30 11:01:06 +0200,TraditionalStrengthTraining,50.6,0.0,0.0,Connect
2026-07-30,2026-07-30 19:07:59 +0200,MixedCardio,51.0,0.0,0.0,Connect
2026-07-30,2026-07-30 19:07:59 +0200,Mixed Cardio,51.0,437.0,0.0,Health Auto Export
2026-08-01,2026-08-01 14:10:42 +0200,Traditional Strength Training,50.6,265.0,0.0,Health Auto Export
2026-08-01,2026-08-01 14:10:42 +0200,TraditionalStrengthTraining,50.6,0.0,0.0,Connect
2026-08-03,2026-08-03 07:36:59 +0200,Walking,323.0,0.0,0.0,Connect
2026-08-03,2026-08-03 07:36:59 +0200,Outdoor Walk,323.0,1980.0,16.8,Health Auto Export
2026-08-03,2026-08-03 16:05:36 +0200,TraditionalStrengthTraining,55.9,0.0,0.0,Connect
2026-08-03,2026-08-03 16:05:36 +0200,Traditional Strength Training,55.9,408.0,0.0,Health Auto Export
2026-08-03,2026-08-03 18:50:22 +0200,Other,0.5,0.0,0.0,Health Auto Export
2026-08-04,2026-08-04 07:28:40 +0200,Outdoor Walk,276.5,1515.0,18.48,Health Auto Export
2026-08-04,2026-08-04 07:28:40 +0200,Walking,276.5,0.0,0.0,Connect
2026-08-04,2026-08-04 13:58:34 +0200,Traditional Strength Training,53.9,369.0,0.0,Health Auto Export
2026-08-04,2026-08-04 13:58:34 +0200,TraditionalStrengthTraining,53.9,0.0,0.0,Connect
2026-08-06,2026-08-06 06:51:56 +0200,Traditional Strength Training,42.4,262.0,0.0,Health Auto Export
2026-08-06,2026-08-06 06:51:56 +0200,TraditionalStrengthTraining,42.4,0.0,0.0,Connect
2026-08-07,2026-08-07 07:15:51 +0200,Traditional Strength Training,23.5,141.0,0.0,Health Auto Export
2026-08-07,2026-08-07 07:15:51 +0200,TraditionalStrengthTraining,23.5,0.0,0.0,Connect
2026-08-07,2026-08-07 07:39:41 +0200,Mixed Cardio,12.0,144.0,0.0,Health Auto Export
2026-08-07,2026-08-07 07:39:41 +0200,MixedCardio,12.0,0.0,0.0,Connect
2026-08-08,2026-08-08 07:11:15 +0200,TraditionalStrengthTraining,50.1,0.0,0.0,Connect
2026-08-08,2026-08-08 07:11:15 +0200,Traditional Strength Training,50.1,286.0,0.0,Health Auto Export
2026-08-09,2026-08-09 18:46:14 +0200,Traditional Strength Training,78.0,467.0,0.0,Health Auto Export
2026-08-09,2026-08-09 18:46:14 +0200,TraditionalStrengthTraining,78.0,0.0,0.0,Connect
2026-08-12,2026-08-12 08:19:26 +0200,Hiking,426.9,2048.0,22.89,Health Auto Export
2026-08-14,2026-08-14 11:39:07 +0200,Hiking,168.7,775.0,8.45,Health Auto Export
2026-08-17,2026-08-17 06:53:00 +0200,Traditional Strength Training,77.8,381.0,0.0,Health Auto Export
2026-08-17,2026-08-17 06:53:00 +0200,TraditionalStrengthTraining,77.8,0.0,0.0,Connect
2026-08-18,2026-08-18 06:55:00 +0200,Traditional Strength Training,61.2,329.0,0.0,Health Auto Export
2026-08-18,2026-08-18 06:55:00 +0200,TraditionalStrengthTraining,61.2,0.0,0.0,Connect
2026-08-18,2026-08-18 19:03:36 +0200,Mixed Cardio,48.8,330.0,0.0,Health Auto Export
2026-08-18,2026-08-18 19:03:36 +0200,MixedCardio,48.8,0.0,0.0,Connect
2026-08-19,2026-08-19 07:16:00 +0200,TraditionalStrengthTraining,44.6,0.0,0.0,Connect
2026-08-19,2026-08-19 07:16:00 +0200,Traditional Strength Training,44.6,262.0,0.0,Health Auto Export
2026-08-25,2026-08-25 16:01:00 +0200,Traditional Strength Training,62.4,365.0,0.0,Health Auto Export
2026-08-25,2026-08-25 16:01:00 +0200,TraditionalStrengthTraining,62.4,0.0,0.0,Connect
2026-08-26,2026-08-26 06:43:00 +0200,TraditionalStrengthTraining,49.6,0.0,0.0,Connect
2026-08-26,2026-08-26 06:43:00 +0200,Traditional Strength Training,49.6,203.0,0.0,Health Auto Export
2026-08-27,2026-08-27 06:59:00 +0200,Traditional Strength Training,42.3,262.0,0.0,Health Auto Export
2026-08-27,2026-08-27 06:59:00 +0200,TraditionalStrengthTraining,42.3,0.0,0.0,Connect
2026-08-28,2026-08-28 12:47:00 +0200,Traditional Strength Training,58.7,351.0,0.0,Health Auto Export
2026-08-28,2026-08-28 12:47:00 +0200,TraditionalStrengthTraining,58.7,0.0,0.0,Connect
2026-09-01,2026-09-01 06:35:15 +0200,Traditional Strength Training,51.5,292.0,0.0,Health Auto Export
2026-09-01,2026-09-01 06:35:15 +0200,TraditionalStrengthTraining,51.5,0.0,0.0,Connect
