Date,Calories_kcal,Protein_g,Carbs_g,Fat_g,Fiber_g
2026-05-20,2362.0,163.3,221.3,76.7,21.3
2026-05-21,2611.0,178.9,267.7,81.7,30.8
2026-05-22,1654.0,115.3,150.1,63.5,10.5
2026-05-25,1613.0,125.6,202.1,31.7,12.3
2026-05-26,3477.0,244.7,297.3,109.7,34.9
2026-05-27,1450.0,105.6,193.2,22.2,34.3
2026-05-28,1140.0,53.0,141.0,37.0,6.0
2026-06-02,1283.0,50.8,141.2,54.9,9.1
2026-06-03,1024.0,70.6,77.3,44.5,9.1
2026-06-08,2217.0,117.2,233.9,87.2,12.6
2026-06-09,2028.0,115.8,266.2,50.2,31.4
2026-06-16,1478.0,110.6,114.0,69.1,15.5
2026-06-17,1535.0,92.1,175.8,40.2,13.3
2026-06-19,1757.0,151.9,181.8,49.3,23.3
2026-06-23,3416.0,259.8,366.1,92.0,47.3
2026-06-24,1913.0,161.2,198.6,51.5,23.5
2026-06-25,245.0,6.5,26.0,11.9,4.3
2026-07-07,1678.0,152.9,136.4,57.2,15.0
2026-07-15,3027.5,237.3,243.2,101.5,25.0
2026-07-16,361.4,33.6,43.8,4.1,0.0
2026-07-20,964.0,42.0,116.0,28.0,8.0
2026-07-21,642.4,66.3,44.2,18.3,6.3
2026-07-22,1483.0,99.7,154.4,48.6,18.1
2026-07-23,1627.0,117.8,174.8,55.1,22.1
2026-08-03,2697.2,103.3,288.6,113.2,41.0
2026-08-04,4660.2,250.7,416.6,200.9,47.0
2026-08-17,2851.2,201.7,392.1,53.3,37.7
2026-08-18,3762.8,297.3,450.6,96.4,17.3
2026-08-19,1500.0,60.0,138.0,78.0,24.0
2026-08-20,1018.0,49.1,99.3,48.3,11.4
2026-09-07,2924.0,211.7,245.6,120.6,28.6
2026-09-08,3087.0,222.3,192.1,159.8,46.6
2026-09-09,2381.0,157.5,220.5,92.7,23.2
2026-09-11,1827.0,148.3,164.1,62.3,17.1
2026-09-13,1850.0,152.0,160.0,58.0,19.0
2026-09-14,3160.0,227.9,271.7,125.8,31.8
2026-09-15,2905.0,218.2,266.9,95.9,26.5
2026-09-16,2814.0,181.4,302.6,97.7,22.1
2026-09-17,591.0,29.3,23.9,38.3,2.1
2026-09-21,1785.0,154.5,197.7,39.3,17.6
2026-09-22,2810.3,236.2,204.9,120.0,18.1
